year,djf,jfm,fma,mam
1963,-0.81212807,-0.51986885,-0.13969994,0.12572989
1964,0.3980338,0.11083603,-0.16405106,-0.3121694
1965,-0.72914314,-0.4046771,-0.16334853,0.22456233
1966,0.8203621,0.76230115,0.69916284,0.6026427
1967,-0.6543274,-0.5993055,-0.5522957,-0.3332666
1968,-0.68282956,-0.69279164,-0.49416798,-0.18279013
1969,0.47036552,0.44909096,0.38729733,0.3576889
1970,-0.108675,-0.18655968,-0.068668365,0.0385863
1971,-1.3424244,-1.2445316,-0.8894514,-0.4972973
1972,-0.7840786,-0.45326996,0.018850327,0.511055
1973,1.0939058,0.6548176,0.16267967,-0.24635951
1974,-1.7502989,-1.3746815,-0.978096,-0.6858597
1975,-0.58745956,-0.5400111,-0.5058836,-0.410333
1976,-1.3407199,-0.959247,-0.4959113,-0.13022614
1977,0.2766851,0.27179274,0.12339147,0.17400679
1978,0.25063515,0.04171435,-0.14190547,-0.17520651
1979,-0.3736,-0.31635666,-0.10596784,0.101167046
1980,-0.003956477,-0.07079761,-0.063404724,0.10214679
1981,-0.49631566,-0.63049257,-0.50910187,-0.29472542
1982,-0.39422926,-0.17724165,0.03883044,0.43741545
1983,1.4726213,1.2798996,1.028347,0.9671211
1984,-0.9583162,-0.7249991,-0.5324701,-0.44183096
1985,-1.1828779,-0.92256737,-0.72400284,-0.56503487
1986,-0.7875118,-0.7035815,-0.42724675,-0.13828659
1987,0.7273611,0.7086983,0.6838112,0.66992253
1988,0.00566419,-0.19980368,-0.41820082,-0.61513776
1989,-1.8822645,-1.5613493,-1.0982044,-0.6841501
1990,-0.31745467,-0.20907657,-0.05926959,0.13962746
1991,-0.030218761,-0.041180294,0.041856132,0.21754774
1992,1.3328298,1.3055662,1.2646211,1.2294827
1993,-0.11557643,0.092547104,0.37748337,0.66564816
1994,-0.250316,-0.17936198,0.053829193,0.35097313
1995,0.50111264,0.30489796,0.24115181,0.21630034
1996,-1.2072895,-1.0426096,-0.73988855,-0.33961615
1997,-0.71752167,-0.51750565,-0.14284262,0.34105682
1998,1.220499,1.001173,0.6974475,0.5281576
1999,-1.7493057,-1.4404806,-1.0822195,-0.79633206
2000,-1.8567894,-1.5488441,-1.0945461,-0.63503397
2001,-1.0278149,-0.86914957,-0.66164273,-0.38944817
2002,-0.6322626,-0.46407956,-0.26405844,0.024970373
2003,0.16738193,-0.060085934,-0.09473737,-0.22189522
2004,-0.3094635,-0.32281813,-0.17965063,0.07452011
2005,-0.06793468,-0.101128265,-0.030747732,0.1806221
2006,-1.2631525,-1.1317108,-0.7625987,-0.3607731
2007,-0.02251943,-0.30276808,-0.39221,-0.31294888
2008,-1.7858461,-1.6036072,-1.2183965,-0.7627303
2009,-1.242955,-1.1130346,-0.77999115,-0.3671144
2010,0.65291214,0.43838057,0.23532677,-0.0052108765
2011,-1.6537775,-1.3656623,-0.95480156,-0.5607294
2012,-1.173221,-0.95896214,-0.70234555,-0.4135202
2013,-1.0135696,-0.90602684,-0.6380946,-0.36856842
2014,-0.9182625,-0.86824036,-0.5310771,-0.091264725
2015,-0.14355406,-0.12996802,0.08157031,0.4147231
2016,1.2771562,1.018247,0.7219982,0.36458206
2017,-1.094429,-0.86091745,-0.4681295,-0.11250623
2018,-1.3858643,-1.2238941,-0.9004803,-0.5288601
2019,-0.010497412,0.050055187,0.1987947,0.35074615
2020,-0.4124241,-0.3689925,-0.27285513,-0.25143814
2021,-1.4469103,-1.2495975,-1.001194,-0.640049
2022,-1.4872189,-1.3914669,-1.2293994,-1.0522125
2023,-1.1833446,-0.9332193,-0.602939,-0.20680301
2024,0.45758694,0.24404272,0.12226741,0.024843853
